"","logFC","logCPM","LR","PValue","FDR"
"ZNF674-AS1",-0.223567476321829,2.30021512188056,1.39942371303584,0.236820083674234,0.99083117613231
"RBM26",-0.0925732560421724,6.15773617942684,1.39935727233805,0.236831213823965,0.99083117613231
"PEMT",0.134082512858641,4.12455392040286,1.3991451266188,0.236866756732026,0.99083117613231
"C5orf46",0.2560085690318,2.17270417623982,1.39905665048068,0.236881581940526,0.99083117613231
"IRF2BP2",-0.104367792281787,7.51605444624091,1.39856833784233,0.236963424652085,0.99083117613231
"RBM4B",0.138259662473089,3.89540822663886,1.3981771924139,0.237029006562108,0.99083117613231
"AGK",-0.154531961936125,3.63461291449888,1.39804454850548,0.237051251472056,0.99083117613231
"SRP54",0.106333277082175,6.17405419652618,1.3968067002447,0.23725896559877,0.99083117613231
"PTBP3",-0.0907064759166935,7.03993761301791,1.39680015109904,0.237260065148966,0.99083117613231
"PTGFRN",-0.165219188892772,4.18220684155898,1.39644486566191,0.237319724047621,0.99083117613231
"CARD8-AS1",0.26367066537618,1.64902145450946,1.39615654472303,0.237368151756888,0.99083117613231
"VTA1",0.0956371705981212,5.83136679937441,1.3956790215254,0.237448385107448,0.99083117613231
"CIB2",-0.386401529393332,0.323204457391735,1.39548583610803,0.237480853425136,0.99083117613231
"SEMA6C",-0.312782148506689,1.0322447385809,1.39518480181647,0.237531458436773,0.99083117613231
"MRPS23",0.10344389532778,5.89415406152639,1.3933306194771,0.237843442080065,0.99083117613231
"CLASP1",-0.0987958128278333,6.73966797507408,1.39314586611943,0.237874555795297,0.99083117613231
"FUOM",-0.164543531287372,3.71946780444237,1.39283217393548,0.237927394990769,0.99083117613231
"TNFRSF11A",0.357492982423838,0.565292753780456,1.39218966129077,0.238035666089532,0.99083117613231
"SLC29A1",-0.0993637347719671,5.75559589875576,1.39107988853493,0.238222816963232,0.99083117613231
"GPN3",0.117462697889172,5.46542727604488,1.39037062547609,0.238342519841213,0.99083117613231
"GBF1",-0.109753068644165,6.6888130584254,1.38981016729821,0.238437160437143,0.99083117613231
"CTNNAL1",0.0907499043429325,7.2387065919102,1.38886640342796,0.238596630238086,0.99083117613231
"CDK13",-0.0887314768790269,6.89892990043069,1.38875742109515,0.238615053552952,0.99083117613231
"SELENOI",-0.094101086040193,7.16030933102998,1.38874911703002,0.238616457414649,0.99083117613231
"RNF181",0.130086858350173,5.85844193933291,1.38809809460596,0.238726548631383,0.99083117613231
"MAP2K2",0.102033347981033,8.60626026815524,1.38808547023307,0.238728684086695,0.99083117613231
"DNAJB12",-0.0960368287311353,6.58623048861852,1.387210558983,0.238876734792966,0.99083117613231
"EGR2",0.302563800614414,1.17006442105894,1.38720251650705,0.238878096241413,0.99083117613231
"RAB40C",-0.16891359455004,4.94546409784315,1.386546770466,0.23898913411711,0.99083117613231
"MCCC2",0.10141701012313,6.11393492836512,1.38654160364847,0.238990009266285,0.99083117613231
